"","RH41.PS.1","RH41.PS.2","RH41.PS.3","RH41.PR.1","RH41.PR.2","RH41.PR.3","RH41.PR.4","RH41.PR.5","NCIH520.PS.1","NCIH520.PS.2","NCIH520.PS.3","NCIH520.PR.1","NCIH520.PR.2","NCIH520.PR.3","SJCRH30.PS.1","SJCRH30.PS.2","SJCRH30.PS.3","SJCRH30.PR.1","SJCRH30.PR.2","SJCRH30.PR.3"
"UST",7.35478330931926,6.97336516160331,7.12896349568338,6.58144958026308,6.74836929247183,6.56276948358561,6.56386327800422,6.80055511681108,3.12422462006773,3.09763372192415,3.05341420243276,4.15030605310359,4.16673469296691,4.32857990703284,6.84027735721954,6.30574534416715,6.48061253933832,6.52486175058865,6.46878264143872,6.47678176409892
"ARL4C",5.97662655891689,6.32566805673335,6.54869401658635,6.53119768991972,6.32807530353619,6.45627310268801,6.4172425799191,6.01655982511116,8.51846754559692,8.48505201544564,8.54907189527763,8.9324050645436,8.86293085812776,8.95114349465591,5.93391072289309,6.04838221713401,5.58732636964196,6.98465209171159,6.9833719476632,6.85301972054668
"PLXNC1",6.76856272499983,6.7407484201829,6.90885524234003,7.78795587538181,8.02942229020592,7.8283761426922,7.96303036532056,7.83520985470331,4.13053915279154,3.69551349588629,4.01682357726651,3.86652710238369,3.22401677628358,3.49534272720636,3.82373482345987,3.63339178104837,3.48516599497105,3.37971804851339,3.04541812029009,3.49115318504224
"CALCRL",3.14945009813881,3.22458357980171,4.01354604648631,4.11499520331974,3.99426373881422,3.98604504018223,3.96321847938189,3.97497480635977,2.98040516549523,2.66948060006125,3.30035706678693,2.74812936003998,2.72126187852111,2.78038426490182,4.50993508961803,4.6166222709315,4.04991533555692,5.2944250812866,5.56470844605785,5.08642328030462
"MPZL2",4.98336194230998,5.06700697866381,5.5926143332434,5.46224497760866,4.43242880057661,5.18278517778064,5.16492459106892,5.16534769683685,6.15970234065967,6.72071258696203,6.82599413358487,7.2457674939564,7.56936171663072,7.55242284077536,5.11581956722554,5.91000754787133,5.8021193152736,5.78725677025497,5.54612101422893,5.18774361025867
"USPL1",7.5615325073543,7.20724700301581,7.93587241007388,7.61098686189139,7.94672781428946,7.80810682772988,7.62721897949074,7.76916831585505,6.30373685501867,6.30102486372505,6.83934741633565,5.82672115011341,5.92900599455315,6.00162849283463,7.31103999067394,6.98389796359015,6.99241224950358,7.50672835795145,7.35785647386657,7.5548594604512
"CTDSPL",5.38493770052103,4.80231812706378,5.58184061544755,5.71795909935259,5.92849472601768,5.89310013823595,5.73652925213699,5.50688404065353,5.48878171988953,5.54586953783271,5.76576835073428,3.39978424864504,3.95431674349482,4.49268898284004,5.81650388336191,6.07977846834481,5.3073050246818,5.29115449598732,4.93036526503594,5.12232878361818
"LRRC17",6.39388576452584,6.19214497697409,6.26314365903235,7.42036295391334,7.56698720969654,7.66684029136682,7.4804490177134,7.82654754262999,3.52229437772828,3.04624433056064,4.42358929959917,3.53875049659722,3.94476385239305,3.1445357327857,7.89953903268823,7.91221682611668,7.54634247694485,7.43106260141847,7.74155689479689,7.43132427553002
"SPRY1",9.15503610830437,8.92714093470351,9.10975667804444,8.34089579468933,8.39788590886014,8.61881226153006,8.52868404639566,8.30539260846218,4.43227860474426,4.7262157326187,4.7160120705194,4.83554661442642,4.24932897317778,5.07010456689297,9.18475757576223,9.1223224368581,8.93369158575179,8.74059999862336,8.78815493497859,8.59046091899183
"ABCC4",7.14964320376691,6.95383337179028,7.08744775794754,5.36919310671182,6.04659471903236,6.1009773944564,6.01672197840813,6.21803612102411,6.49450232186504,6.80990094178702,6.6934628505421,6.37785652288715,5.77731045039626,6.23661737479231,7.36489324938338,7.32122780369898,7.16122515148617,7.41530215566765,7.3324640142329,7.36193448115099
"CDKN1A",6.1774078587173,6.27166633342464,6.40088772447837,7.51832415382308,7.26314767835035,7.45062816907385,7.40653432170053,7.51575917700896,5.69643795043588,6.23676144974324,5.93503232584292,4.73113923576937,4.2449071102423,4.77517046539239,7.48883642505924,7.59815724790333,7.43344465560512,7.44134594829072,7.57984854528468,7.53966525631259
"STAG1",8.77385630860868,8.47988669083206,8.68637262706219,8.10393217166382,8.15761050967666,8.17245230612478,8.24354744079582,8.26116016591665,7.41652286254561,7.53983555572754,7.46416141808135,7.23309787261526,7.54234516496957,7.42118136909472,7.4134450376137,7.51270863129062,7.51226803501189,6.74298649020446,7.00726808172818,6.82492560121826
"ADAR",6.65738838953202,6.40273414547494,7.16582022449076,7.61782169295671,7.82751012854644,7.8401770686074,7.73848404390447,7.91141706316829,6.98992876619296,6.85794227294859,7.19116116451142,7.5231888334852,7.35302529368817,7.79614515369241,7.08630586315029,6.57161641796333,6.50945867852439,6.54131671548007,6.40052400395775,6.77633220129938
"DLEU1",4.36907854690825,3.77415732390813,4.25338835813145,3.97391636782957,4.33607607748466,3.84406952612754,3.73684906193225,3.8398097665435,6.36324276910689,6.74782099831407,6.75611672132487,5.49460542100956,5.28553577339053,5.66679477157134,3.73969743109095,3.7924548455936,3.92220243633244,4.59592050794959,3.96666466993687,4.10396792305517
"CDKN2C",6.14055257848393,6.60520065519058,6.34962303977349,6.12156949031303,6.12783646906739,5.90308123776854,5.81174634827027,5.90958777111022,5.6246814627533,5.85068745711066,5.27793363153038,6.25054298399568,6.22721982238984,6.06114665232883,7.56103250602021,7.89813465624171,7.40006910448133,6.84281207486677,7.10005815664894,6.93936382108011
"B3GALT5",5.21256205025127,4.57962654890377,5.32521791776701,4.79556814591702,4.62945261489475,4.66338566953847,4.6113614779918,4.67705849233945,4.18013093603779,4.01862657577063,4.06121433408612,4.02654686777631,3.89264191893841,4.57980816036756,6.25428035883461,5.62487866380645,5.71553526510686,5.10373182413396,4.82955302576677,5.05839613883317
"KLHL41",7.84904728475462,7.40978660834562,7.70261708165852,8.07009672088174,8.23752697953284,8.17281911145381,8.08740417877821,8.08132681887017,2.98249110344232,2.91823706286197,3.08263735013522,2.98180262268001,2.78805745717482,3.07649270901072,4.20276586767322,4.64779524462083,3.92210150905938,5.62872725496475,5.52392310956686,5.12820655835902
"AKR1A1",6.28567700783233,6.4918222174273,6.43483383367293,7.24753757049569,7.28072663952401,7.01208730495441,7.03939128502623,7.22981354895903,9.48315654461893,9.50860227499699,9.69526645491614,8.87384442832727,8.77735983897541,8.7361934780204,7.28063336829205,7.01124133718574,6.80700163442977,6.81338950753373,6.73683717482626,7.09509365347854
"EMC8",5.97750295627081,6.02351285728458,6.30025964636086,6.56202243724163,6.29732578900237,6.38971584844226,6.16294326590516,6.39257742592822,7.72895701284407,7.80150719658909,8.02888547451178,9.01033546739066,9.15015464245816,9.19150092889996,5.85314118582302,6.05239078564127,5.99482230916098,6.35733494314806,6.28318644892081,6.33770730271094
"CITED2",7.68825307377863,7.48329861161221,7.69451597749376,9.35988502247223,9.41280714321335,9.42497422934349,9.32903036576734,9.45793796051322,4.74242389979847,4.83070135482667,4.34077851078672,5.05801845014658,5.27062728855574,4.8992541363439,6.94109713141966,6.9813387449704,6.62248295126699,6.39368952971501,6.12023169878399,6.31287779222786
"SEMA3A",6.98597547763847,5.97952204001878,6.62230485014594,7.88544505754918,8.2342887105099,8.21624512398567,7.9300332868575,8.1217360488624,4.06167956517557,3.83994762175246,3.83905115149472,3.44317888761604,4.23190931171004,3.75016286736415,8.01200600332302,8.00137622854663,7.78362645911885,8.56860662870438,8.6657499772196,8.65264905762984
