"","RH41.PS.1","RH41.PS.2","RH41.PS.3","RH41.PR.1","RH41.PR.2","RH41.PR.3","RH41.PR.4","RH41.PR.5","NCI-H520.PS.1","NCI-H520.PS.2","NCI-H520.PS.3","NCI-H520.PR.1","NCI-H520.PR.2","NCI-H520.PR.3","SJCRH30.PS.1","SJCRH30.PS.2","SJCRH30.PS.3","SJCRH30.PR.1","SJCRH30.PR.2","SJCRH30.PR.3"
"TC1600009524.hg.1",9.336675996493,9.05799415013491,9.01363138072215,8.92012807551229,9.16970918350891,8.89861761570267,8.89728376149187,8.87470582018358,9.1780832300206,9.11622087909954,9.30822790898665,8.53040540744418,8.26877554189485,8.49501746034769,7.95727685663859,7.64599889917319,7.93582327488718,7.93557046782028,7.72414507549066,7.96851303729635
"TC0400010694.hg.1",2.71405902286855,3.19554500749004,3.41602743442219,3.55732501100542,3.4247020512678,3.38933693508337,2.83342733788965,2.77419057929436,8.31072176623187,8.34631868226148,8.49002937724184,7.43069374221711,7.70452183803546,7.79780378887352,3.16024286034614,3.52011970493263,3.60829411870079,3.15664809790077,3.00437917975432,3.80768942031039
"TC0400006793.hg.1",6.84357792988157,6.4832345239948,6.11822913760829,5.82760162706654,5.55757563717726,5.54952828374416,5.43406732847325,5.63232508950705,5.95749869238395,6.099367905333,5.11717265716004,5.5610860502508,5.18778267221113,5.97471244872248,7.75291780382464,7.51012174611718,7.41635181351916,7.51795031280452,7.67254921574417,5.85637029549612
"TC2100008491.hg.1",5.08797342305036,4.66130365530107,4.66295335781512,5.14891913760301,4.86815106566854,5.41755373450456,4.69798031444628,4.42487240798731,4.03253971180479,3.96290085734262,3.20962095675164,3.4443911195835,3.78202004503268,3.91664532750685,4.16632595768588,3.86029661717356,3.4292223409819,3.67785220739187,3.4742209256356,3.8037250559352
"TC1700008326.hg.1",8.07825858743081,7.96287534167932,7.84453970601006,7.52585344805359,7.80783132593631,7.7807996452783,7.784225607642,8.19732284698472,7.83886923087993,8.23216517113941,8.18573151071035,7.68422079558781,7.91597195293675,7.92720899088804,5.84396368924485,5.993826448577,5.51090965186483,5.21443856273671,5.68097357926331,5.23765682764832
"TC1500010731.hg.1",5.47184508342261,5.15364452533843,5.78671709725411,7.0599881261372,7.07317101003345,7.0914909557146,7.06726627120202,7.18685241845769,6.88639054139901,7.04404196028401,6.80080729881238,7.0516226474898,7.33626630303155,7.04268306608486,6.12352414957399,6.16968471751087,5.99227022967398,6.00477817290205,6.51027856177856,6.41122797803354
"TC0900011597.hg.1",5.83883793679227,6.21944603489582,6.16849306100022,6.84887698634412,6.68933516595407,6.50862839134786,6.594960697365,6.49822563714981,4.95677828642072,5.55122031837739,5.41603047700204,5.21436207266576,5.24349158243335,4.8072395937531,5.75812013808792,5.66861879645692,5.36374278474145,5.90903167181238,5.60804154073695,5.29332660471909
"TC1900009447.hg.1",5.23163295247534,5.37539412478365,4.7651938432271,4.8535152665374,5.01564351375623,4.84777920059222,4.79718350930696,5.05931728624531,6.47372421001057,6.24409422088706,6.37565398030083,6.48985821365945,5.9972809512583,5.9694576399489,4.71645078092004,4.74056087343418,5.2330702642265,5.2062602349092,5.69295414476362,5.05577826154776
"TC0X00008712.hg.1",4.19193124443848,3.59106297054125,3.85213346395028,4.80653979863795,4.83838723293261,5.11923882003141,4.9047796910297,5.11760002816456,3.23704324945957,3.50180845060423,3.37473039036101,3.2242394996263,3.62762856783435,3.49261829615929,4.48746671490683,3.76106821407243,4.82735033455659,4.69308479087725,4.26775612640305,4.01777714058935
"TC0600010864.hg.1",7.57069925829668,7.42029807723324,7.61322384862148,8.07328136790798,7.88223966493211,7.8859449379924,7.75265595501735,7.90105020591268,8.326127132403,8.41127542909486,8.66218872136372,8.41948513110017,8.29237265788709,8.47755875433812,7.54116653928909,7.53038888550559,7.30226779777198,7.49859269064442,7.57576441618628,7.68768713643715
